verifier,scenario,feature,std_coef,odds_ratio,nonzero_freq,sign_consistency,median_coef
nnenum,synthetic,n_conv,0.2586629334066885,1.2951971635480042,1.0,0.95,0.26005486715958304
nnenum,synthetic,n_relu,-0.37625064654084694,0.6864302601082303,1.0,0.8166666666666667,-0.4522456319721696
nnenum,synthetic,n_add,0.0,1.0,0.0,0.0,0.0
nnenum,synthetic,n_mul,0.0,1.0,0.0,0.0,0.0
nnenum,synthetic,n_softmax,0.0,1.0,0.0,0.0,0.0
nnenum,synthetic,n_pow,0.0,1.0,0.0,0.0,0.0
nnenum,synthetic,graph_depth,-0.7686241764308012,0.4636505310210141,1.0,0.9666666666666667,-0.6946479535154015
nnenum,synthetic,n_hidden_layers,-0.37625064654084694,0.6864302601082303,1.0,0.8166666666666667,-0.4522456319721696
nnenum,synthetic,max_hidden_width,-1.163754807967217,0.31231130756519826,1.0,0.5833333333333334,-0.26721902414328347
nnenum,synthetic,onnx_file_bytes,1.4578590683387211,4.296750624593076,1.0,0.9166666666666666,1.1864805121451862
nnenum,synthetic,arch_MLP,-0.7823511946686953,0.4573294756037803,1.0,1.0,-0.8094987815416581
nnenum,synthetic,arch_CNN,0.7823511946686953,2.186607365903476,1.0,1.0,0.809498781541661
nnenum,synthetic,arch_ATTENTION,0.0,1.0,0.0,0.0,0.0
nnenum,synthetic,arch_POLYNOMIAL,0.0,1.0,0.0,0.0,0.0
nnenum,synthetic,arch_HYBRID,0.0,1.0,0.0,0.0,0.0
nnenum,synthetic,arch_OTHER,0.0,1.0,0.0,0.0,0.0
nnenum,synthetic,has_conv,0.7823511946686953,2.186607365903476,1.0,1.0,0.809498781541661
nnenum,synthetic,has_softmax,0.0,1.0,0.0,0.0,0.0
nnenum,synthetic,has_add_residual,0.0,1.0,0.0,0.0,0.0
nnenum,synthetic,has_pow,0.0,1.0,0.0,0.0,0.0
nnenum,synthetic,margin_hat_min,-2.140969608663402,0.11754081915489187,1.0,0.9666666666666667,-1.7746321258809172
nnenum,synthetic,g_ibp,3.6538345434722417,38.62248205089922,1.0,1.0,3.960505472678017
nnenum,synthetic,unstable_fraction,2.061872457226078,7.860674816136141,1.0,1.0,2.6037309855278163
nnenum,synthetic,a_tau,1.2100365305078364,3.353607159284006,1.0,0.9666666666666667,1.2695697619669457
nnenum,synthetic,d_eff,-1.043443102639488,0.3522397939027282,1.0,0.8333333333333334,-0.5627486810706128
nnenum,combined,input_dim,1.9527621042534733,7.048128384856206,1.0,0.9166666666666666,1.5280473702693778
nnenum,combined,output_dim,1.960443724174482,7.102477907198692,0.95,0.8596491228070176,1.3124534275774211
nnenum,combined,n_param_total,1.7772009212519067,5.913281491595401,1.0,0.9833333333333333,1.5725045258863353
nnenum,combined,n_nodes,-1.437095776198609,0.23761685007155792,1.0,1.0,-1.3400833619165062
nnenum,combined,n_gemm_matmul,-5.269703204970501,0.005145137397647907,0.9833333333333333,1.0,-4.460477696921634
nnenum,combined,n_conv,2.9492083052542184,19.090833631092337,0.8333333333333334,1.0,2.158755417466182
nnenum,combined,n_relu,-0.2424890017288793,0.7846723775708143,0.9166666666666666,0.9090909090909091,-0.5680267522164368
nnenum,combined,n_add,0.0,1.0,0.0,0.0,0.0
nnenum,combined,n_mul,0.0,1.0,0.0,0.0,0.0
nnenum,combined,n_softmax,0.0,1.0,0.0,0.0,0.0
nnenum,combined,n_pow,0.0,1.0,0.0,0.0,0.0
nnenum,combined,graph_depth,-1.437095776198609,0.23761685007155792,1.0,1.0,-1.3400833619165062
nnenum,combined,n_hidden_layers,-0.2424890017288793,0.7846723775708143,0.9166666666666666,0.9090909090909091,-0.5680267522164368
nnenum,combined,max_hidden_width,-0.482751432668337,0.6170831910338721,0.9166666666666666,0.509090909090909,0.0
nnenum,combined,onnx_file_bytes,0.8431981576763663,2.323786942394744,0.9666666666666667,0.9827586206896551,1.1738352457803574
nnenum,combined,arch_MLP,1.1231949245088673,3.0746618400901418,0.9166666666666666,0.6545454545454545,0.2671715698994618
nnenum,combined,arch_CNN,-1.1231949245088526,0.32523901879586764,0.9166666666666666,0.6545454545454545,-0.2671715698994602
nnenum,combined,arch_ATTENTION,0.0,1.0,0.0,0.0,0.0
nnenum,combined,arch_POLYNOMIAL,0.0,1.0,0.0,0.0,0.0
nnenum,combined,arch_HYBRID,0.0,1.0,0.0,0.0,0.0
nnenum,combined,arch_OTHER,0.0,1.0,0.0,0.0,0.0
