instance_id,benchmark,domain,constructor,network_group,feat_source,margin_hat_min,g_ibp,unstable_fraction,a_tau,d_eff,profile_missing_ct,input_dim,output_dim,n_param_total,n_nodes,n_gemm_matmul,n_conv,n_relu,n_add,n_mul,n_softmax,n_pow,graph_depth,n_hidden_layers,max_hidden_width,onnx_file_bytes,arch_MLP,arch_CNN,arch_ATTENTION,arch_POLYNOMIAL,arch_HYBRID,arch_OTHER,has_conv,has_softmax,has_add_residual,has_pow,arch_type,size_missing_ct,verifier,raw_status,raw_time,raw_outcome,budget_s
meap12,sweep_all,synthetic,MEAP,sweep_all::meap12,onnx,1.0,645.0449829095112,0.9523809523809523,3.58351893845611,63.43706717714754,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,neuralsat,UNSAT,479.2031033039093,solved,600.0
meap12,sweep_all,synthetic,MEAP,sweep_all::meap12,onnx,1.0,645.0449829095112,0.9523809523809523,3.58351893845611,63.43706717714754,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,marabou,TIMEOUT,600.0074799060822,timeout,600.0
meap12,sweep_all,synthetic,MEAP,sweep_all::meap12,onnx,1.0,645.0449829095112,0.9523809523809523,3.58351893845611,63.43706717714754,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,nnenum,ERROR,1.359008550643921,error,600.0
meap12,sweep_all,synthetic,MEAP,sweep_all::meap12,onnx,1.0,645.0449829095112,0.9523809523809523,3.58351893845611,63.43706717714754,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,pyrat,UNSAT,7.29447078704834,solved,600.0
meap13,sweep_all,synthetic,MEAP,sweep_all::meap13,onnx,0.0010000001639127731,40.99999250842064,0.5714285714285714,0.6931471805599453,70.75047898794142,0,100,10,462,15,8,0,3,4,0,0,0,12,3,10,4580.0,1,0,0,0,0,0,0,0,1,0,MLP,0,abcrown,UNSAT,8.854910135269165,solved,600.0
meap13,sweep_all,synthetic,MEAP,sweep_all::meap13,onnx,0.0010000001639127731,40.99999250842064,0.5714285714285714,0.6931471805599453,70.75047898794142,0,100,10,462,15,8,0,3,4,0,0,0,12,3,10,4580.0,1,0,0,0,0,0,0,0,1,0,MLP,0,neuralsat,UNSAT,175.20037698745728,solved,600.0
meap13,sweep_all,synthetic,MEAP,sweep_all::meap13,onnx,0.0010000001639127731,40.99999250842064,0.5714285714285714,0.6931471805599453,70.75047898794142,0,100,10,462,15,8,0,3,4,0,0,0,12,3,10,4580.0,1,0,0,0,0,0,0,0,1,0,MLP,0,marabou,UNSAT,0.1327221393585205,solved,600.0
meap13,sweep_all,synthetic,MEAP,sweep_all::meap13,onnx,0.0010000001639127731,40.99999250842064,0.5714285714285714,0.6931471805599453,70.75047898794142,0,100,10,462,15,8,0,3,4,0,0,0,12,3,10,4580.0,1,0,0,0,0,0,0,0,1,0,MLP,0,nnenum,ERROR,1.25480055809021,error,600.0
meap13,sweep_all,synthetic,MEAP,sweep_all::meap13,onnx,0.0010000001639127731,40.99999250842064,0.5714285714285714,0.6931471805599453,70.75047898794142,0,100,10,462,15,8,0,3,4,0,0,0,12,3,10,4580.0,1,0,0,0,0,0,0,0,1,0,MLP,0,pyrat,UNSAT,4.6588358879089355,solved,600.0
meap14,sweep_all,synthetic,MEAP,sweep_all::meap14,onnx,100.0,645.0449999999936,0.9523809523809523,3.5553480614894135,63.46136499900791,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,abcrown,UNSAT,23.356231212615967,solved,600.0
meap14,sweep_all,synthetic,MEAP,sweep_all::meap14,onnx,100.0,645.0449999999936,0.9523809523809523,3.5553480614894135,63.46136499900791,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,neuralsat,TIMEOUT,600.7722275257111,timeout,600.0
meap14,sweep_all,synthetic,MEAP,sweep_all::meap14,onnx,100.0,645.0449999999936,0.9523809523809523,3.5553480614894135,63.46136499900791,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,marabou,TIMEOUT,600.0070691108704,timeout,600.0
meap14,sweep_all,synthetic,MEAP,sweep_all::meap14,onnx,100.0,645.0449999999936,0.9523809523809523,3.5553480614894135,63.46136499900791,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,nnenum,ERROR,1.338477611541748,error,600.0
meap14,sweep_all,synthetic,MEAP,sweep_all::meap14,onnx,100.0,645.0449999999936,0.9523809523809523,3.5553480614894135,63.46136499900791,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,pyrat,UNSAT,6.022543907165527,solved,600.0
milp1,sweep_all,synthetic,MILP,sweep_all::milp1,onnx,0.04671812057495117,13.56779918317475,0.8333333333333334,3.2188758248682006,32.35174663335047,0,50,5,1285,5,3,0,2,0,0,0,0,5,2,20,5940.0,1,0,0,0,0,0,0,0,0,0,MLP,0,abcrown,UNSAT,7.150469541549683,solved,600.0
milp1,sweep_all,synthetic,MILP,sweep_all::milp1,onnx,0.04671812057495117,13.56779918317475,0.8333333333333334,3.2188758248682006,32.35174663335047,0,50,5,1285,5,3,0,2,0,0,0,0,5,2,20,5940.0,1,0,0,0,0,0,0,0,0,0,MLP,0,neuralsat,UNSAT,82.73089218139648,solved,600.0
milp1,sweep_all,synthetic,MILP,sweep_all::milp1,onnx,0.04671812057495117,13.56779918317475,0.8333333333333334,3.2188758248682006,32.35174663335047,0,50,5,1285,5,3,0,2,0,0,0,0,5,2,20,5940.0,1,0,0,0,0,0,0,0,0,0,MLP,0,marabou,UNSAT,0.20496845245361328,solved,600.0
milp1,sweep_all,synthetic,MILP,sweep_all::milp1,onnx,0.04671812057495117,13.56779918317475,0.8333333333333334,3.2188758248682006,32.35174663335047,0,50,5,1285,5,3,0,2,0,0,0,0,5,2,20,5940.0,1,0,0,0,0,0,0,0,0,0,MLP,0,nnenum,UNSAT,1.4965834617614746,solved,600.0
milp1,sweep_all,synthetic,MILP,sweep_all::milp1,onnx,0.04671812057495117,13.56779918317475,0.8333333333333334,3.2188758248682006,32.35174663335047,0,50,5,1285,5,3,0,2,0,0,0,0,5,2,20,5940.0,1,0,0,0,0,0,0,0,0,0,MLP,0,pyrat,UNSAT,4.206479072570801,solved,600.0
milp2,sweep_all,synthetic,MILP,sweep_all::milp2,onnx,0.009411066770553589,143.4963851606485,0.9666666666666667,4.23410650459726,32.992183582693706,0,50,5,1285,5,3,0,2,0,0,0,0,5,2,20,5940.0,1,0,0,0,0,0,0,0,0,0,MLP,0,abcrown,UNSAT,9.415895938873291,solved,600.0
milp2,sweep_all,synthetic,MILP,sweep_all::milp2,onnx,0.009411066770553589,143.4963851606485,0.9666666666666667,4.23410650459726,32.992183582693706,0,50,5,1285,5,3,0,2,0,0,0,0,5,2,20,5940.0,1,0,0,0,0,0,0,0,0,0,MLP,0,neuralsat,UNSAT,73.52887892723083,solved,600.0
milp2,sweep_all,synthetic,MILP,sweep_all::milp2,onnx,0.009411066770553589,143.4963851606485,0.9666666666666667,4.23410650459726,32.992183582693706,0,50,5,1285,5,3,0,2,0,0,0,0,5,2,20,5940.0,1,0,0,0,0,0,0,0,0,0,MLP,0,marabou,UNSAT,58.747788190841675,solved,600.0
