Running analysis with 1 processes, domains = ['poly'], scorer = CoefScorer, timemout = 600

Safe_volume: 0.0000% |                              | Time: 02:17 s, Done: 126, Remaining: 127
Safe_volume: 0.0000% |                              | Time: 02:17 s, Done: 127, Remaining: 128
Safe_volume: 0.0000% |                              | Time: 02:18 s, Done: 127, Remaining: 128
Safe_volume: 0.0000% |                              | Time: 02:18 s, Done: 128, Remaining: 129
Safe_volume: 0.0000% |                              | Time: 02:19 s, Done: 128, Remaining: 129
Safe_volume: 0.0000% |                              | Time: 02:19 s, Done: 129, Remaining: 130
Safe_volume: 0.0000% |                              | Time: 02:20 s, Done: 129, Remaining: 130
Safe_volume: 0.0000% |                              | Time: 02:20 s, Done: 130, Remaining: 131
Safe_volume: 0.0000% |                              | Time: 02:21 s, Done: 130, Remaining: 131
Safe_volume: 0.0000% |                              | Time: 02:21 s, Done: 131, Remaining: 132
Safe_volume: 0.0000% |                              | Time: 02:22 s, Done: 131, Remaining: 132
Safe_volume: 0.0000% |                              | Time: 02:22 s, Done: 132, Remaining: 133
Safe_volume: 0.0000% |                              | Time: 02:23 s, Done: 132, Remaining: 133
Safe_volume: 0.0000% |                              | Time: 02:23 s, Done: 133, Remaining: 134
Safe_volume: 0.0000% |                              | Time: 02:24 s, Done: 133, Remaining: 134
Safe_volume: 0.0000% |                              | Time: 02:24 s, Done: 134, Remaining: 135
Safe_volume: 0.0000% |                              | Time: 02:25 s, Done: 134, Remaining: 135
Safe_volume: 0.0000% |                              | Time: 02:25 s, Done: 135, Remaining: 136
Safe_volume: 0.0000% |                              | Time: 02:26 s, Done: 135, Remaining: 136
Safe_volume: 0.0000% |                              | Time: 02:26 s, Done: 136, Remaining: 137
Safe_volume: 0.0000% |                              | Time: 02:27 s, Done: 136, Remaining: 137
Safe_volume: 0.0000% |                              | Time: 02:27 s, Done: 137, Remaining: 138
Safe_volume: 0.0000% |                              | Time: 02:28 s, Done: 137, Remaining: 138
Safe_volume: 0.0000% |                              | Time: 02:28 s, Done: 138, Remaining: 139
Safe_volume: 0.0000% |                              | Time: 02:30 s, Done: 138, Remaining: 139
Safe_volume: 0.0000% |                              | Time: 02:30 s, Done: 139, Remaining: 140
Safe_volume: 0.0000% |                              | Time: 02:31 s, Done: 139, Remaining: 140
Safe_volume: 0.0000% |                              | Time: 02:31 s, Done: 140, Remaining: 141
Safe_volume: 0.0000% |                              | Time: 02:32 s, Done: 140, Remaining: 141
Safe_volume: 0.0000% |                              | Time: 02:32 s, Done: 141, Remaining: 142
Safe_volume: 0.0000% |                              | Time: 02:33 s, Done: 141, Remaining: 142
Safe_volume: 0.0000% |                              | Time: 02:33 s, Done: 142, Remaining: 143
Safe_volume: 0.0000% |                              | Time: 02:34 s, Done: 142, Remaining: 143
Safe_volume: 0.0000% |                              | Time: 02:34 s, Done: 143, Remaining: 144
Safe_volume: 0.0000% |                              | Time: 02:35 s, Done: 143, Remaining: 144
Safe_volume: 0.0000% |                              | Time: 02:35 s, Done: 144, Remaining: 145
Safe_volume: 0.0000% |                              | Time: 02:36 s, Done: 144, Remaining: 145
Safe_volume: 0.0000% |                              | Time: 02:36 s, Done: 145, Remaining: 146
Safe_volume: 0.0000% |                              | Time: 02:37 s, Done: 145, Remaining: 146
Safe_volume: 0.0000% |                              | Time: 02:37 s, Done: 146, Remaining: 147
Safe_volume: 0.0000% |                              | Time: 02:37 s, Done: 146, Remaining: 147
Safe_volume: 0.0000% |                              | Time: 02:37 s, Done: 147, Remaining: 148
Safe_volume: 0.0000% |                              | Time: 02:38 s, Done: 147, Remaining: 148
Safe_volume: 0.0000% |                              | Time: 02:38 s, Done: 148, Remaining: 149
Safe_volume: 0.0000% |                              | Time: 02:39 s, Done: 148, Remaining: 149
Safe_volume: 0.0000% |                              | Time: 02:39 s, Done: 149, Remaining: 150
Safe_volume: 0.0000% |                              | Time: 02:40 s, Done: 149, Remaining: 150
Safe_volume: 0.0000% |                              | Time: 02:40 s, Done: 150, Remaining: 151
Safe_volume: 0.0000% |                              | Time: 02:41 s, Done: 150, Remaining: 151
Safe_volume: 0.0000% |                              | Time: 02:41 s, Done: 151, Remaining: 152
Safe_volume: 0.0000% |                              | Time: 02:42 s, Done: 151, Remaining: 152
Safe_volume: 0.0000% |                              | Time: 02:42 s, Done: 152, Remaining: 153
Safe_volume: 0.0000% |                              | Time: 02:43 s, Done: 152, Remaining: 153
Safe_volume: 0.0000% |                              | Time: 02:43 s, Done: 153, Remaining: 154
Safe_volume: 0.0000% |                              | Time: 02:44 s, Done: 153, Remaining: 154
Safe_volume: 0.0000% |                              | Time: 02:44 s, Done: 154, Remaining: 155
Safe_volume: 0.0000% |                              | Time: 02:45 s, Done: 154, Remaining: 155
Safe_volume: 0.0000% |                              | Time: 02:45 s, Done: 155, Remaining: 156
Safe_volume: 0.0000% |                              | Time: 02:46 s, Done: 155, Remaining: 156
Safe_volume: 0.0000% |                              | Time: 02:46 s, Done: 156, Remaining: 157
Safe_volume: 0.0000% |                              | Time: 02:47 s, Done: 156, Remaining: 157
Safe_volume: 0.0000% |                              | Time: 02:47 s, Done: 157, Remaining: 158
Safe_volume: 0.0000% |                              | Time: 02:48 s, Done: 157, Remaining: 158
Safe_volume: 0.0000% |                              | Time: 02:48 s, Done: 158, Remaining: 159
Safe_volume: 0.0000% |                              | Time: 02:49 s, Done: 158, Remaining: 159
Safe_volume: 0.0000% |                              | Time: 02:49 s, Done: 159, Remaining: 160
Safe_volume: 0.0000% |                              | Time: 02:50 s, Done: 159, Remaining: 160
Safe_volume: 0.0000% |                              | Time: 02:50 s, Done: 160, Remaining: 161
Safe_volume: 0.0000% |                              | Time: 02:51 s, Done: 160, Remaining: 161
Safe_volume: 0.0000% |                              | Time: 02:51 s, Done: 161, Remaining: 162
Safe_volume: 0.0000% |                              | Time: 02:52 s, Done: 161, Remaining: 162
Safe_volume: 0.0000% |                              | Time: 02:52 s, Done: 162, Remaining: 163
Safe_volume: 0.0000% |                              | Time: 02:53 s, Done: 162, Remaining: 163
Safe_volume: 0.0000% |                              | Time: 02:53 s, Done: 163, Remaining: 164
Safe_volume: 0.0000% |                              | Time: 02:54 s, Done: 163, Remaining: 164
Safe_volume: 0.0000% |                              | Time: 02:54 s, Done: 164, Remaining: 165
Safe_volume: 0.0000% |                              | Time: 02:55 s, Done: 164, Remaining: 165
Safe_volume: 0.0000% |                              | Time: 02:55 s, Done: 165, Remaining: 166
Safe_volume: 0.0000% |                              | Time: 02:56 s, Done: 165, Remaining: 166
Safe_volume: 0.0000% |                              | Time: 02:56 s, Done: 166, Remaining: 167
Safe_volume: 0.0000% |                              | Time: 02:57 s, Done: 166, Remaining: 167
Safe_volume: 0.0000% |                              | Time: 02:57 s, Done: 167, Remaining: 168
Safe_volume: 0.0000% |                              | Time: 02:58 s, Done: 167, Remaining: 168
Safe_volume: 0.0000% |                              | Time: 02:58 s, Done: 168, Remaining: 169
